Tittel,Opphav,Målgruppe,Type,Fase,Årstid,Dager,Tid,Beskrivelse,Verdi for brukerne,Verdi for organisasjonene,Hva må være på plass,Hvor starter vi,ImageURL,pdfURL
Museums- og teaternatt,Matchmaking,Familier / barn og unge,Arrangement,Nåtid,Høst,Helg,Kveld/natt,"Museums- og teaternatt bygger videre på museets eksisterende ‘Museumsnatt’-arrangement, og introduserer teateret som medarrangør. Som et tettpakket arrangement der der allerede utføres aktiviteter og opplevelser, er det etablerte formatet en potensielt god måte å medarrangere uten å måtte opprette et nytt arrangement fra bunnen av.

De mange naturhistoriske og arkeologiske aktivitetene på arrangementet kan berikes med skuespill og forestillinger, eller så kan teateret bistå med aktiviteter innenfor egne kunnskapsfelt, som kostymemaking eller improteater.",Rikt tilbud av aktiviteter som kan appelere til en bredere målgruppe i Stavanger.,"Et potensielt lavterskel format for å teste ut felles koordinering, planlegging, drift og arrangering. Potensielt større besøkstall ved økt bruk av tomten.","Avklaring om felles arrangering under neste Museumsnatt. Aktiviteter, roller og kontakt frem til neste høst.","Start med å utforske interessen for å arrangere sammen. Fokuser på både hvilke spennende aktiviteter det kan føre til, så vel som hvilken viktig læring og kontakt det vil skape mellom teateret og museet frem mot nytt bygg.",museums-ogteaternatt.png,museumsogteaternatt.pdf

Historisk scenografi,Ansattintervjuer,Ansatte MS/RT / Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Kveld/natt,"«Historisk scenografi» er et banebrytende samarbeid som visker ut skillet mellom magasin og scene. Her erstattes teaterets illusoriske rekvisitter med autentiske gjenstander fra museets samlinger – selvsagt nøye utvalgt med tanke på sikkerhet og bevaring. Når skuespillerne interagerer med ekte historie, enten det er møbler fra 1800-tallet eller utstoppede dyr, oppstår en unik autentisitet og atmosfære som plast og maling aldri kan gjenskape. Konseptet henter gjenstander ut av glassmontrene og gir dem nytt liv i rampelyset, noe som tilbyr publikum en levende og taktil historietime sømløst integrert i den kunstneriske opplevelsen.",Dybdelæring og underholdning gjennom en unik kombinasjon av fag og scenekunst.,Gir publikum ny tilgang til samlinger og gjør historiske materialer levende.,"Logistikk rundt utlån, sikkerhet, romtilrettelegging og felles produksjonsteam.","En workshop mellom scenograf, dramaturg og museumsfaglige ansatte.",historiskscenografi.png,historiskscenografi.pdf
Rogalandsvisa,Matchmaking,Familier / Barn og unge,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Rogalandsvisa er en musikalsk familieforestilling som løfter frem historiske hendelser, personer og folkelige fortellinger fra Rogaland gjennom sang, humor og sceniske tablåer. Forestillingen bygger på tradisjonen fra norske spel og skaper et format der lokalhistorie kan oppleves som levende, tilgjengelig og underholdende for både barn og voksne. 

Gjennom sterke visuelle uttrykk, musikk og fortellerkunst skapes en helhetlig opplevelse som både begeistrer og gir innsikt i regionens identitet og kulturarv. Konseptet egner seg godt som uteproduksjon i sommerhalvåret, men kan også tilpasses et innendørsformat.","En engasjerende inngang til lokalhistorie med musikk, fortelling og familievennlig format.",Styrker regional forankring og åpner for bredt publikum gjennom et tilgjengelig konsept.,"Manus, musikalsk materiale, skuespillere, enkel scenografi og egnet ute- eller innendørs arena.",Velg historiske temaer og utvikle en første skisse på dramaturgi og musikalsk uttrykk.,rogalandsvisa.png,rogalandsvisa.pdf
Biologisk impro,Matchmaking,Ungdom,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Biologisk impro er et interaktivt arrangement som kombinerer faglig kunnskap om biologisk mangfold med improvisert scenekunst utviklet spesielt for ungdom. Konseptet bygger på en blanding av formidling og performance, der fagpersoner fra naturhistorisk avdeling samarbeider med skuespillere for å skape levende og engasjerende situasjoner på scenen.

Improvisasjonen tar utgangspunkt i biologiske fenomen, arter og økologiske sammenhenger, som skuespillerne tolker gjennom humor, overraskelser og publikumsdeltakelse. Målet er å gjøre komplekse naturtemaer mer tilgjengelige, inspirere ungdom til refleksjon og skape en opplevelse som både underholder og utdyper forståelsen av naturens sårbarhet og betydning.","En engasjerende inngang til naturfag, med humor, energi og høy deltakelse.",Styrker ungdomsappell og tester nye formidlingsformer.,"Faglige temaer, improvisatører, enkelt sceneteknisk oppsett og props.",En kort idé- og prøveworkshop der fagpersoner og skuespillere tester formatet.,biologiskimpro.png,biologiskimpro.pdf
Tyvenes kveld,Workshop med barn,Barn og unge,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Tyvenes kveld er et lekent og fartsfylt kveldsarrangement der barna får utforske museet gjennom et rollespillpreget “ran-scenario”. Rommene bygges om med laseralarmer, hinderløyper og oppdrag som krever smidighet, taktikk og samarbeid. Barna skal navigere seg gjennom museets utstillinger uten å trigge sensorer, finne “verdifulle objekter” og fullføre oppdrag før de blir fanget og satt i et humoristisk “fengsel”. 

Konseptet gir barna en adrenalinfylt måte å oppdage museets samlinger på, og skaper en minneverdig opplevelse med spenningslek, fysisk aktivitet og en uformell inngang til museumsmiljøet.",En spennende og fysisk opplevelse som gjør museet til en lekeplass for fantasi og samarbeid.,"Tiltrekker barnefamilier, skaper høy deltakeraktivitet og gjør museet mer tilgjengelig og lekent.","Laseroppsett, sikkerhetsvurdering, tydelig løype, bemanning og enkle “ran”-rekvisitter.",Definér oppdragsløype og test konseptet i én avgrenset sone før skalering.,tyveneskveld.png,tyveneskveld.pdf
Imaginære utstillinger,Workshop med barn,Barn og unge,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Generelt for forslagene som kom fra barn og unge var ønsker om å oppleve og se ulike fantasifulle vesener. Både skumle og fantastiske, er konseptet om det overnaturlige noe som vekker spenning og interesse hos de unge. 

Det som gjør det ekstra interessant er det kreative mulighetsrommet det skaper, der det kan gjøres en høy grad av utforskning og eksperimentering med hva som presenteres, hvordan det presenteres og hvem som får være med å skape opplevelsen.","Barn og unge kan drømme seg bort med fantasifortellinger, som kan spille på litteratur, film og teater. Dette kan ha pedagogiske elementer ved seg, samt bygge på barnas fantasi gjennom samskaping.","Høy tiltrekningsfaktor som et ‘utenom det vanlige’ arrangement og utstilling, der museet og teateret kan samarbeide på å konstruere modeller og arrangere dramatiseringer av verdensbyggingen.",Fleksible utstillingsarealer.,Start med barna! Arranger workshops med idéer og ønsker om fantasivesener og fenomer de vil se komme til live.,imaginæreutstillinger.png,imaginaereutstillinger.pdf
Fossilgraving,Ungdomsworkshop,Ungdom,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Fossilgraving er et praktisk, utendørs aktivitetskonsept hvor barn og unge får prøve rollen som amatørpaleontologer. I en stor sand- eller jordflate gjemmes ulike “fossiler” som deltakerne kan grave frem ved hjelp av enkle verktøy. Aktiviteten skaper et spennende møte mellom lek og læring, der deltakerne opplever gleden av å finne noe skjult samtidig som de introduseres for grunnleggende paleontologi, geologi og naturhistorie. Konseptet kan tilpasses ulike nivåer – fra barnevennlige funn til mer kunnskapsrike utfordringer for ungdom – og fungerer som en lavterskelaktivitet som både trekker folk utendørs og skaper nysgjerrighet for museets fagfelt.",En fysisk og utforskende aktivitet som skaper ekte mestringsfølelse og læring gjennom lek.,"Øker synlighet ut mot byrommet og gir en sterk, familievennlig inngang til museets fagområder.","Sandfelt, trygge verktøy, robuste “fossiler”, bemanning og enkel sikkerhetsinstruks.",Planlegg innhold i funnfeltet og gjennomfør en pilot i mindre skala for å teste flyt og engasjement.,fossilgraving.png,fossilgraving.pdf
Fotballet,Ungdomsworkshop,Ungdom,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Fotballet er et ungdomsrettet program som utforsker fotball som kulturfenomen gjennom samtaler, live-podcaster, miniforedrag og sceniske innslag. Konseptet kombinerer lidenskapen rundt sporten med refleksjon om identitet, fellesskap, rivalisering og lokalhistorie. Publikum får møte tidligere spillere, supportere, eksperter og kulturpersoner som belyser fotballens betydning utover selve spillet. I tillegg kan programmet inkludere visning av ikoniske øyeblikk, analyser, rekvisitter og historiske drakter som skaper gjenkjennelse og engasjement. Fotballet inviterer ungdom inn i et format som føles relevant, sosialt og underholdende, samtidig som det åpner for innsikt i fotballens mange lag.","Gir ungdom en samlende, aktuell og engasjerende møteplass knyttet til en lidenskap de allerede deler.",Tiltrekker nye målgrupper og kobler kulturhuset til lokale og nasjonale fotballmiljøer.,"Programledelse, gjester, teknisk rigg for samtaleformat og relevant visuelt innhold.",Definer tema for første utgave og inviter en lokal profil eller ekspert som trekker ungdom.,fotballet.png,fotballet.pdf
Språkløs vandring,Samtale med Nye i Norge,Nye i Norge,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Språkløs vandring er et inkluderende formidlingskonsept som bryter ned alle språklige barrierer. Gjennom dramatiserte byvandringer formidles historie og fortellinger utelukkende ved hjelp av fysisk teater, mimikk, bevegelse og lydbilder – helt uten talte ord. Dette gjør opplevelsen universelt tilgjengelig, uavhengig av deltakernes bakgrunn eller norskkunnskaper. Konseptet inviterer «Nye i Norge» til å utforske byens identitet på like vilkår som lokalbefolkningen. Det omdanner byrommet til en scene der forståelse oppstår gjennom blikk, handling og emosjonell gjenklang fremfor vokabular.",Gir en fullverdig kulturell opplevelse og fellesskapsfølelse helt uten krav til språkferdigheter.,Demonstrerer radikal inkludering og når effektivt ut til en stor målgruppe som ofte faller utenfor.,Skuespillere med spisskompetanse på fysisk teater og en nøye koreografert rute i byrommet.,Utvikle en kort pilot-scene basert på en visuelt tydelig lokalhistorisk hendelse for å teste formatet.,spraklosvandring.png,spraklosvandring.pdf
